Input points: 256
Block 0: 0.776342
Block 1: 0.882541
Block 2: 0.780143
Block 3: 0.990286
Block 0: 0.839422
Block 1: 0.905073
Block 2: 0.741597
Block 3: 0.943935
Block 0: 0.855126
Block 1: 0.897237
Block 2: 0.742644
Block 3: 1.013713
Block 0: 0.694679
Block 1: 0.765235
Block 2: 0.642787
Block 3: 0.923484
Block 0: 0.801102
Block 1: 0.835576
Block 2: 0.646224
Block 3: 0.981767
Block 0: 0.809845
Block 1: 0.820606
Block 2: 0.736058
Block 3: 0.950666
Block 0: 0.772360
Block 1: 0.839553
Block 2: 0.662872
Block 3: 0.960888
Block 0: 0.806195
Block 1: 0.886080
Block 2: 0.752931
Block 3: 0.992548
Block 0: 0.871976
Block 1: 0.968528
Block 2: 0.811050
Block 3: 0.974872
Block 0: 0.825732
Block 1: 0.886599
Block 2: 0.720574
Block 3: 0.907169
Block 0: 0.711406
Block 1: 0.827144
Block 2: 0.622897
Block 3: 1.033213
Block 0: 0.844028
Block 1: 0.862384
Block 2: 0.702624
Block 3: 0.868703
Block 0: 0.678776
Block 1: 0.784302
Block 2: 0.656737
Block 3: 0.964792
Block 0: 0.741623
Block 1: 0.858995
Block 2: 0.712171
Block 3: 0.987374
Block 0: 0.719895
Block 1: 0.841767
Block 2: 0.669491
Block 3: 0.974554
Block 0: 0.834183
Block 1: 0.973675
Block 2: 0.762197
Block 3: 1.025976
Block 0: 0.876795
Block 1: 0.905197
Block 2: 0.718951
Block 3: 0.957898
Block 0: 0.790685
Block 1: 0.922509
Block 2: 0.766235
Block 3: 0.951339
Block 0: 0.831161
Block 1: 0.914691
Block 2: 0.752439
Block 3: 0.961446
Block 0: 0.716745
Block 1: 0.882901
Block 2: 0.661099
Block 3: 0.974926
Block 0: 0.743371
Block 1: 0.843591
Block 2: 0.679661
Block 3: 0.976687
Block 0: 0.846699
Block 1: 0.843126
Block 2: 0.733172
Block 3: 0.950380
Block 0: 0.736932
Block 1: 0.880028
Block 2: 0.682796
Block 3: 0.968420
Block 0: 0.743333
Block 1: 0.749169
Block 2: 0.640366
Block 3: 0.874920
Block 0: 0.796401
Block 1: 0.927622
Block 2: 0.710727
Block 3: 1.032959
Block 0: 0.801498
Block 1: 0.911776
Block 2: 0.733209
Block 3: 0.909566
Block 0: 0.794987
Block 1: 0.920911
Block 2: 0.747492
Block 3: 0.954686
Block 0: 0.677514
Block 1: 0.781676
Block 2: 0.610051
Block 3: 0.969557
Block 0: 0.803399
Block 1: 0.856030
Block 2: 0.689705
Block 3: 0.858927
Block 0: 0.746836
Block 1: 0.877821
Block 2: 0.682459
Block 3: 0.997669
Block 0: 0.897317
Block 1: 0.914679
Block 2: 0.765415
Block 3: 0.977863
Block 0: 0.784109
Block 1: 0.793287
Block 2: 0.679808
Block 3: 0.839257
Block 0: 0.884343
Block 1: 0.939822
Block 2: 0.720810
Block 3: 0.997392
Block 0: 0.779269
Block 1: 0.832805
Block 2: 0.681774
Block 3: 0.934634
Block 0: 0.691112
Block 1: 0.907455
Block 2: 0.700439
Block 3: 0.980763
Block 0: 0.781107
Block 1: 0.817620
Block 2: 0.651218
Block 3: 0.939756
Block 0: 0.741016
Block 1: 0.909702
Block 2: 0.736322
Block 3: 0.989762
Block 0: 0.820687
