Input points: 256
Block 0: 0.821526
Block 1: 0.836007
Block 2: 0.868890
Block 3: 0.796978
Block 0: 0.796549
Block 1: 0.835990
Block 2: 0.859891
Block 3: 0.784667
Block 0: 0.801113
Block 1: 0.816724
Block 2: 0.849266
Block 3: 0.740352
Block 0: 0.730964
Block 1: 0.744650
Block 2: 0.769702
Block 3: 0.703084
Block 0: 0.746901
Block 1: 0.774315
Block 2: 0.804500
Block 3: 0.735779
Block 0: 0.759913
Block 1: 0.785738
Block 2: 0.806703
Block 3: 0.730673
Block 0: 0.725961
Block 1: 0.753215
Block 2: 0.772917
Block 3: 0.673782
Block 0: 0.798938
Block 1: 0.833238
Block 2: 0.860893
Block 3: 0.784247
Block 0: 0.839309
Block 1: 0.852894
Block 2: 0.904375
Block 3: 0.797059
Block 0: 0.768431
Block 1: 0.790022
Block 2: 0.821171
Block 3: 0.731140
Block 0: 0.725412
Block 1: 0.736916
Block 2: 0.771227
Block 3: 0.716683
Block 0: 0.755322
Block 1: 0.772030
Block 2: 0.819475
Block 3: 0.694470
Block 0: 0.742725
Block 1: 0.761874
Block 2: 0.793362
Block 3: 0.779363
Block 0: 0.745962
Block 1: 0.764430
Block 2: 0.794827
Block 3: 0.751704
Block 0: 0.745503
Block 1: 0.764256
Block 2: 0.789068
Block 3: 0.749194
Block 0: 0.840208
Block 1: 0.873123
Block 2: 0.891121
Block 3: 0.826449
Block 0: 0.785823
Block 1: 0.799774
Block 2: 0.838647
Block 3: 0.717491
Block 0: 0.804399
Block 1: 0.820187
Block 2: 0.866491
Block 3: 0.770100
Block 0: 0.802529
Block 1: 0.824031
Block 2: 0.852926
Block 3: 0.762081
Block 0: 0.746519
Block 1: 0.758954
Block 2: 0.781391
Block 3: 0.743408
Block 0: 0.776857
Block 1: 0.788610
Block 2: 0.830346
Block 3: 0.800672
Block 0: 0.772762
Block 1: 0.791284
Block 2: 0.821636
Block 3: 0.711298
Block 0: 0.747858
Block 1: 0.765362
Block 2: 0.794884
Block 3: 0.729524
Block 0: 0.685773
Block 1: 0.705219
Block 2: 0.728881
Block 3: 0.683593
Block 0: 0.815296
Block 1: 0.835404
Block 2: 0.869639
Block 3: 0.806557
Block 0: 0.787771
Block 1: 0.809623
Block 2: 0.848879
Block 3: 0.739329
Block 0: 0.799806
Block 1: 0.825181
Block 2: 0.847962
Block 3: 0.793136
Block 0: 0.721394
Block 1: 0.734220
Block 2: 0.755235
Block 3: 0.726350
Block 0: 0.766017
Block 1: 0.791898
Block 2: 0.832355
Block 3: 0.754327
Block 0: 0.762146
Block 1: 0.775219
Block 2: 0.823139
Block 3: 0.754707
Block 0: 0.803486
Block 1: 0.827725
Block 2: 0.863575
Block 3: 0.764601
Block 0: 0.741614
Block 1: 0.762745
Block 2: 0.809159
Block 3: 0.716378
Block 0: 0.812627
Block 1: 0.850631
Block 2: 0.868799
Block 3: 0.750847
Block 0: 0.761493
Block 1: 0.787423
Block 2: 0.818287
Block 3: 0.732838
Block 0: 0.749452
Block 1: 0.764132
Block 2: 0.795382
Block 3: 0.781451
Block 0: 0.719152
Block 1: 0.732042
Block 2: 0.760268
Block 3: 0.702545
Block 0: 0.792408
Block 1: 0.813051
Block 2: 0.851633
Block 3: 0.816136
Block 0: 0.770777
Block 1: 0.797364
Block 2: 0.824693
Block 3: 0.763755
Block 0: 0.724563
Block 1: 0.737645
Block 2: 0.775309
Block 3: 0.711251
Block 0: 0.843765
Block 1: 0.870573
Block 2: 0.902739
Block 3: 0.787740
Block 0: 0.808718
Block 1: 0.845365
Block 2: 0.864037
Block 3: 0.793572
Block 0: 0.783619
Block 1: 0.810777
Block 2: 0.840830
Block 3: 0.781793
Block 0: 0.776057
Block 1: 0.800578
Block 2: 0.829833
Block 3: 0.773289
Block 0: 0.814579
Block 1: 0.829503
Block 2: 0.865028
Block 3: 0.798846
Block 0: 0.808036
Block 1: 0.853484
Block 2: 0.859809
Block 3: 0.767599
Block 0: 0.744622
Block 1: 0.762583
Block 2: 0.790862
Block 3: 0.723657
Block 0: 0.795288
Block 1: 0.805068
Block 2: 0.844638
Block 3: 0.770092
Block 0: 0.790297
Block 1: 0.817908
Block 2: 0.846564
Block 3: 0.760443
Block 0: 0.784481
Block 1: 0.803475
Block 2: 0.853342
Block 3: 0.722401
Block 0: 0.847136
Block 1: 0.865095
Block 2: 0.896031
Block 3: 0.799679
Block 0: 0.744045
Block 1: 0.764719
Block 2: 0.797172
Block 3: 0.723469
Block 0: 0.849891
Block 1: 0.881362
Block 2: 0.927409
Block 3: 0.794007
Block 0: 0.827079
Block 1: 0.858526
Block 2: 0.873674
Block 3: 0.771123
Block 0: 0.694039
Block 1: 0.713640
Block 2: 0.743783
Block 3: 0.735428
Block 0: 0.742075
Block 1: 0.757651
Block 2: 0.785083
Block 3: 0.723107
Block 0: 0.758552
Block 1: 0.770165
Block 2: 0.801186
Block 3: 0.748833
Block 0: 0.757627
Block 1: 0.784168
Block 2: 0.816482
Block 3: 0.755218
Block 0: 0.771408
Block 1: 0.792869
Block 2: 0.830562
Block 3: 0.770087
Block 0: 0.750589
Block 1: 0.779534
Block 2: 0.787729
Block 3: 0.735371
Block 0: 0.748053
Block 1: 0.750801
Block 2: 0.780426
Block 3: 0.758087
Block 0: 0.842933
Block 1: 0.877628
Block 2: 0.906418
Block 3: 0.803281
Block 0: 0.773220
Block 1: 0.795681
Block 2: 0.817452
Block 3: 0.785485
Block 0: 0.847657
Block 1: 0.878863
Block 2: 0.895626
Block 3: 0.785716
Block 0: 0.766265
Block 1: 0.788707
Block 2: 0.833299
Block 3: 0.769051
Block 0: 0.766562
Block 1: 0.782751
Block 2: 0.805726
Block 3: 0.761044
Block 0: 0.803609
Block 1: 0.824535
Block 2: 0.863329
Block 3: 0.801445
Block 0: 0.792379
Block 1: 0.810870
Block 2: 0.834370
Block 3: 0.768735
Block 0: 0.761167
Block 1: 0.780437
Block 2: 0.811702
Block 3: 0.777640
Block 0: 0.796526
Block 1: 0.813496
Block 2: 0.854159
Block 3: 0.763676
Block 0: 0.758645
Block 1: 0.792338
Block 2: 0.820253
Block 3: 0.732918
Block 0: 0.757432
Block 1: 0.777011
Block 2: 0.802150
Block 3: 0.748110
Block 0: 0.711967
Block 1: 0.722676
Block 2: 0.732612
Block 3: 0.695395
Block 0: 0.736718
Block 1: 0.749731
Block 2: 0.777666
Block 3: 0.724022
Block 0: 0.734062
Block 1: 0.744901
Block 2: 0.783876
Block 3: 0.731033
Block 0: 0.770156
Block 1: 0.797362
Block 2: 0.827229
Block 3: 0.720812
Block 0: 0.789956
Block 1: 0.805824
Block 2: 0.835438
Block 3: 0.753747
Block 0: 0.801312
Block 1: 0.822617
Block 2: 0.853225
Block 3: 0.794468
Block 0: 0.786499
Block 1: 0.810598
Block 2: 0.833097
Block 3: 0.774173
Block 0: 0.748814
Block 1: 0.762898
Block 2: 0.790116
Block 3: 0.694614
Block 0: 0.789581
Block 1: 0.808048
Block 2: 0.837243
Block 3: 0.750319
Block 0: 0.823579
Block 1: 0.851767
Block 2: 0.890925
Block 3: 0.768390
Block 0: 0.767665
Block 1: 0.780896
Block 2: 0.814914
Block 3: 0.751543
Block 0: 0.807608
Block 1: 0.830059
Block 2: 0.865928
Block 3: 0.797384
Block 0: 0.746265
Block 1: 0.787418
Block 2: 0.808448
Block 3: 0.713993
Block 0: 0.739416
Block 1: 0.761223
Block 2: 0.781591
Block 3: 0.724164
Block 0: 0.845128
Block 1: 0.878619
Block 2: 0.909189
Block 3: 0.781332
Block 0: 0.756776
Block 1: 0.767894
Block 2: 0.794552
Block 3: 0.746598
Block 0: 0.746928
Block 1: 0.764110
Block 2: 0.798864
Block 3: 0.763906
Block 0: 0.799580
Block 1: 0.827105
Block 2: 0.880857
Block 3: 0.760078
Block 0: 0.757164
Block 1: 0.784203
Block 2: 0.808407
Block 3: 0.767830
Block 0: 0.784770
Block 1: 0.806359
Block 2: 0.835294
Block 3: 0.774428
Block 0: 0.743604
Block 1: 0.759013
Block 2: 0.799214
Block 3: 0.733659
Block 0: 0.779237
Block 1: 0.802935
Block 2: 0.830637
Block 3: 0.781454
Block 0: 0.833047
Block 1: 0.865533
Block 2: 0.883191
Block 3: 0.768974
Block 0: 0.778687
Block 1: 0.796338
Block 2: 0.830133
Block 3: 0.761951
Block 0: 0.771303
Block 1: 0.798901
Block 2: 0.821325
Block 3: 0.717860
Block 0: 0.684752
Block 1: 0.698424
Block 2: 0.726728
Block 3: 0.679280
Block 0: 0.735275
Block 1: 0.756215
Block 2: 0.776212
Block 3: 0.699178
Block 0: 0.790160
Block 1: 0.818287
Block 2: 0.835917
Block 3: 0.733100
Block 0: 0.741700
Block 1: 0.759063
Block 2: 0.791970
Block 3: 0.746670
Block 0: 0.765007
Block 1: 0.779949
Block 2: 0.821335
Block 3: 0.755233
Block 0: 0.796078
Block 1: 0.815665
Block 2: 0.847729
Block 3: 0.791675
Block 0: 0.825813
Block 1: 0.842044
Block 2: 0.903056
Block 3: 0.787083
Block 0: 0.757079
Block 1: 0.776333
Block 2: 0.812545
Block 3: 0.748968
Block 0: 0.767569
Block 1: 0.799386
Block 2: 0.813047
Block 3: 0.718370
Block 0: 0.767602
Block 1: 0.803632
Block 2: 0.828662
Block 3: 0.739488
Block 0: 0.810111
Block 1: 0.826734
Block 2: 0.860131
Block 3: 0.769148
Block 0: 0.816612
Block 1: 0.848496
Block 2: 0.871524
Block 3: 0.788760
Block 0: 0.754202
Block 1: 0.769509
Block 2: 0.798652
Block 3: 0.742371
Block 0: 0.756376
Block 1: 0.773928
Block 2: 0.815890
Block 3: 0.761691
Block 0: 0.808360
Block 1: 0.828710
Block 2: 0.869339
Block 3: 0.748369
Block 0: 0.769481
Block 1: 0.794845
Block 2: 0.819386
Block 3: 0.735008
Block 0: 0.757424
Block 1: 0.783153
Block 2: 0.795921
Block 3: 0.740925
Block 0: 0.748843
Block 1: 0.773498
Block 2: 0.785390
Block 3: 0.697016
Block 0: 0.773530
Block 1: 0.784144
Block 2: 0.821372
Block 3: 0.784575
Block 0: 0.770716
Block 1: 0.787547
Block 2: 0.820661
Block 3: 0.717586
Block 0: 0.771365
Block 1: 0.810751
Block 2: 0.829397
Block 3: 0.734375
Block 0: 0.781133
Block 1: 0.802102
Block 2: 0.846045
Block 3: 0.754923
Block 0: 0.768402
Block 1: 0.781988
Block 2: 0.817570
Block 3: 0.757597
Block 0: 0.726229
Block 1: 0.743857
Block 2: 0.778332
Block 3: 0.704979
Block 0: 0.762850
Block 1: 0.790864
Block 2: 0.817260
Block 3: 0.739803
Block 0: 0.788060
Block 1: 0.809795
Block 2: 0.841197
Block 3: 0.771861
Block 0: 0.744325
Block 1: 0.771625
Block 2: 0.795496
Block 3: 0.713038
Block 0: 0.765171
Block 1: 0.800704
Block 2: 0.819551
Block 3: 0.679592
Block 0: 0.843900
Block 1: 0.862879
Block 2: 0.893655
Block 3: 0.806878
Block 0: 0.792434
Block 1: 0.811448
Block 2: 0.846356
Block 3: 0.805282
Block 0: 0.745584
Block 1: 0.760576
Block 2: 0.790537
Block 3: 0.751264
Block 0: 0.854829
Block 1: 0.885469
Block 2: 0.902973
Block 3: 0.769665
Block 0: 0.719663
Block 1: 0.735945
Block 2: 0.763009
Block 3: 0.662808
Block 0: 0.760482
Block 1: 0.784887
Block 2: 0.820581
Block 3: 0.742431
Block 0: 0.721646
Block 1: 0.734454
Block 2: 0.759668
Block 3: 0.717364
Block 0: 0.768315
Block 1: 0.795027
Block 2: 0.823389
Block 3: 0.740401
Block 0: 0.827145
Block 1: 0.858135
Block 2: 0.880283
Block 3: 0.746093
Block 0: 0.751612
Block 1: 0.776856
Block 2: 0.804207
Block 3: 0.696992
Block 0: 0.691144
Block 1: 0.707899
Block 2: 0.749866
Block 3: 0.679711
Block 0: 0.742010
Block 1: 0.769868
Block 2: 0.799117
Block 3: 0.692444
Block 0: 0.741421
Block 1: 0.758833
Block 2: 0.797170
Block 3: 0.751866
Block 0: 0.791214
Block 1: 0.805412
Block 2: 0.832288
Block 3: 0.755395
Block 0: 0.785196
Block 1: 0.810451
Block 2: 0.845592
Block 3: 0.724706
Block 0: 0.794228
Block 1: 0.818992
Block 2: 0.860139
Block 3: 0.808586
Block 0: 0.792099
Block 1: 0.813496
Block 2: 0.854811
Block 3: 0.774181
Block 0: 0.746178
Block 1: 0.767218
Block 2: 0.789395
Block 3: 0.740607
Block 0: 0.808951
Block 1: 0.828204
Block 2: 0.861742
Block 3: 0.749399
Block 0: 0.721219
Block 1: 0.757323
Block 2: 0.775331
Block 3: 0.685564
Block 0: 0.743009
Block 1: 0.753781
Block 2: 0.796579
Block 3: 0.694745
Block 0: 0.716338
Block 1: 0.735095
Block 2: 0.753553
Block 3: 0.695876
Block 0: 0.792946
Block 1: 0.812052
Block 2: 0.838726
Block 3: 0.765666
Block 0: 0.784788
Block 1: 0.811455
Block 2: 0.850167
Block 3: 0.760049
Block 0: 0.755102
Block 1: 0.775271
Block 2: 0.805235
Block 3: 0.744422
Block 0: 0.787552
Block 1: 0.812008
Block 2: 0.842005
Block 3: 0.769925
Block 0: 0.746001
Block 1: 0.764532
Block 2: 0.806527
Block 3: 0.704292
Block 0: 0.803923
Block 1: 0.831586
Block 2: 0.861835
Block 3: 0.725415
Block 0: 0.805979
Block 1: 0.823852
Block 2: 0.874377
Block 3: 0.773992
Block 0: 0.827314
Block 1: 0.845289
Block 2: 0.888793
Block 3: 0.784556
Block 0: 0.764529
Block 1: 0.800257
Block 2: 0.815308
Block 3: 0.674303
Block 0: 0.793913
Block 1: 0.830085
Block 2: 0.852159
Block 3: 0.739096
Block 0: 0.785545
Block 1: 0.811875
Block 2: 0.850337
Block 3: 0.766271
Block 0: 0.737714
Block 1: 0.756247
Block 2: 0.791140
Block 3: 0.693310
Block 0: 0.742249
Block 1: 0.763013
Block 2: 0.798482
Block 3: 0.769579
Block 0: 0.737717
Block 1: 0.771752
Block 2: 0.794476
Block 3: 0.672406
Block 0: 0.710416
Block 1: 0.735838
Block 2: 0.764501
Block 3: 0.742626
Block 0: 0.821512
Block 1: 0.840276
Block 2: 0.877053
Block 3: 0.798123
Block 0: 0.815295
Block 1: 0.841040
Block 2: 0.878556
Block 3: 0.786346
Block 0: 0.795056
Block 1: 0.817710
Block 2: 0.838957
Block 3: 0.753203
Block 0: 0.723547
Block 1: 0.740961
Block 2: 0.768355
Block 3: 0.689252
Block 0: 0.775838
Block 1: 0.805555
Block 2: 0.839255
Block 3: 0.756942
Block 0: 0.798939
Block 1: 0.810311
Block 2: 0.842881
Block 3: 0.751446
Block 0: 0.795785
Block 1: 0.802103
Block 2: 0.840258
Block 3: 0.779046
Block 0: 0.830081
Block 1: 0.860640
Block 2: 0.899038
Block 3: 0.823310
Block 0: 0.815713
Block 1: 0.844938
Block 2: 0.875499
Block 3: 0.793241
Block 0: 0.754257
Block 1: 0.783631
Block 2: 0.812994
Block 3: 0.720652
Block 0: 0.694471
Block 1: 0.704818
Block 2: 0.728431
Block 3: 0.710623
Block 0: 0.755230
Block 1: 0.780471
Block 2: 0.800957
Block 3: 0.734891
Block 0: 0.788805
Block 1: 0.819689
Block 2: 0.854537
Block 3: 0.724790
Block 0: 0.794701
Block 1: 0.825475
Block 2: 0.864632
Block 3: 0.763820
Block 0: 0.801039
Block 1: 0.831483
Block 2: 0.858849
Block 3: 0.799332
Block 0: 0.741949
Block 1: 0.763023
Block 2: 0.789110
Block 3: 0.758502
Block 0: 0.813842
Block 1: 0.843284
Block 2: 0.871115
Block 3: 0.766090
Block 0: 0.805320
Block 1: 0.822679
Block 2: 0.870956
Block 3: 0.739038
Block 0: 0.765883
Block 1: 0.783711
Block 2: 0.816664
Block 3: 0.751202
Block 0: 0.762120
Block 1: 0.791876
Block 2: 0.826656
Block 3: 0.762180
Block 0: 0.754879
Block 1: 0.789410
Block 2: 0.818672
Block 3: 0.679195
Block 0: 0.751015
Block 1: 0.767000
Block 2: 0.808276
Block 3: 0.730655
Block 0: 0.724197
Block 1: 0.739828
Block 2: 0.771462
Block 3: 0.678816
Block 0: 0.779804
Block 1: 0.797860
Block 2: 0.841107
Block 3: 0.744113
Block 0: 0.827781
Block 1: 0.866988
Block 2: 0.874668
Block 3: 0.763501
Block 0: 0.742521
Block 1: 0.755002
Block 2: 0.802158
Block 3: 0.740421
Block 0: 0.765739
Block 1: 0.789012
Block 2: 0.814096
Block 3: 0.739181
