Input points: 256
Block 0: 4.841948
Block 1: 4.772539
Block 2: 4.253937
Block 3: 3.650831
Block 0: 4.841798
Block 1: 4.767580
Block 2: 4.218881
Block 3: 3.683296
Block 0: 4.837205
Block 1: 4.754909
Block 2: 4.134408
Block 3: 3.638518
Block 0: 4.843778
Block 1: 4.785157
Block 2: 4.422768
Block 3: 3.934577
Block 0: 4.840104
Block 1: 4.768050
Block 2: 4.253078
Block 3: 3.777733
Block 0: 4.842535
Block 1: 4.768858
Block 2: 4.227767
Block 3: 3.703215
Block 0: 4.841595
Block 1: 4.771737
Block 2: 4.245468
Block 3: 3.875155
Block 0: 4.834612
Block 1: 4.759943
Block 2: 4.245201
Block 3: 3.738921
Block 0: 4.839756
Block 1: 4.754490
Block 2: 4.227452
Block 3: 3.530010
Block 0: 4.842865
Block 1: 4.770314
Block 2: 4.316460
Block 3: 3.880261
Block 0: 4.840254
Block 1: 4.767997
Block 2: 4.169401
Block 3: 3.876061
Block 0: 4.840896
Block 1: 4.771244
Block 2: 4.236349
Block 3: 3.810910
Block 0: 4.843167
Block 1: 4.782701
Block 2: 4.322815
Block 3: 3.739125
Block 0: 4.843069
Block 1: 4.780572
Block 2: 4.310425
Block 3: 3.738541
Block 0: 4.844023
Block 1: 4.784172
Block 2: 4.415382
Block 3: 3.954403
Block 0: 4.838703
Block 1: 4.748264
Block 2: 4.156834
Block 3: 3.679745
Block 0: 4.840215
Block 1: 4.759705
Block 2: 4.186009
Block 3: 3.735188
Block 0: 4.843312
Block 1: 4.782738
Block 2: 4.372223
Block 3: 3.809078
Block 0: 4.840034
Block 1: 4.764356
Block 2: 4.245369
Block 3: 3.767764
Block 0: 4.842582
Block 1: 4.797853
Block 2: 4.359591
Block 3: 4.027560
Block 0: 4.844007
Block 1: 4.782289
Block 2: 4.213995
Block 3: 3.802607
Block 0: 4.841432
Block 1: 4.764412
Block 2: 4.325553
Block 3: 3.758510
Block 0: 4.843393
Block 1: 4.783823
Block 2: 4.367154
Block 3: 3.906831
Block 0: 4.843809
Block 1: 4.781173
Block 2: 4.429457
Block 3: 4.024016
Block 0: 4.840903
Block 1: 4.775949
Block 2: 4.225100
Block 3: 3.794271
Block 0: 4.841348
Block 1: 4.771026
Block 2: 4.246092
Block 3: 3.760863
Block 0: 4.842710
Block 1: 4.781666
Block 2: 4.289656
Block 3: 3.805600
Block 0: 4.843486
Block 1: 4.791849
Block 2: 4.411421
Block 3: 3.841136
Block 0: 4.840588
Block 1: 4.765020
Block 2: 4.169038
Block 3: 3.749687
Block 0: 4.843048
Block 1: 4.782155
Block 2: 4.308341
Block 3: 3.874575
Block 0: 4.838205
Block 1: 4.739880
Block 2: 4.135857
