Input points: 256
Block 0: 3.833385
Block 1: 4.531957
Block 2: 4.031717
Block 3: 4.601340
Block 0: 3.453908
Block 1: 4.588189
Block 2: 3.903320
Block 3: 4.811601
Block 0: 3.797841
Block 1: 4.648615
Block 2: 4.038745
Block 3: 4.885347
Block 0: 3.253752
Block 1: 4.038867
Block 2: 3.576090
Block 3: 3.807380
Block 0: 3.287012
Block 1: 4.697289
Block 2: 3.530446
Block 3: 4.588771
Block 0: 3.518998
Block 1: 4.157760
Block 2: 3.754346
Block 3: 4.199154
Block 0: 3.291100
Block 1: 3.845379
Block 2: 3.705745
Block 3: 4.385316
Block 0: 3.531446
Block 1: 4.788406
Block 2: 3.807038
Block 3: 4.495964
Block 0: 4.074133
Block 1: 4.527463
Block 2: 4.060153
Block 3: 4.962116
Block 0: 3.518420
Block 1: 4.413931
Block 2: 3.885175
Block 3: 4.686895
Block 0: 3.321303
Block 1: 4.112375
Block 2: 3.407696
Block 3: 4.426976
Block 0: 3.542853
Block 1: 4.113548
Block 2: 3.822706
Block 3: 4.452754
Block 0: 3.555570
Block 1: 4.360657
Block 2: 3.482941
Block 3: 4.036152
Block 0: 3.311101
Block 1: 4.356068
Block 2: 3.711379
Block 3: 4.484375
Block 0: 3.499986
Block 1: 4.405692
Block 2: 3.613042
Block 3: 4.332382
Block 0: 3.871046
Block 1: 4.761449
Block 2: 4.165045
Block 3: 5.081348
Block 0: 3.558166
Block 1: 4.231718
Block 2: 3.817559
Block 3: 4.732454
Block 0: 4.129019
Block 1: 4.479726
Block 2: 3.869336
Block 3: 4.493242
Block 0: 3.632577
Block 1: 4.571695
Block 2: 3.788163
Block 3: 4.722176
Block 0: 3.418811
Block 1: 4.174523
Block 2: 3.471193
Block 3: 4.582194
Block 0: 3.764494
Block 1: 4.377736
Block 2: 3.682479
Block 3: 4.464944
Block 0: 3.562428
Block 1: 4.103574
Block 2: 3.707519
Block 3: 4.441473
Block 0: 3.523298
Block 1: 4.355884
Block 2: 3.539319
Block 3: 4.517699
Block 0: 3.211359
Block 1: 4.364141
Block 2: 3.277097
Block 3: 3.910197
Block 0: 3.857757
Block 1: 4.622666
Block 2: 3.995748
Block 3: 4.827676
Block 0: 3.670838
Block 1: 4.280737
Block 2: 4.007000
Block 3: 4.721372
Block 0: 3.936881
Block 1: 4.780651
Block 2: 3.850525
Block 3: 4.883505
Block 0: 3.193819
Block 1: 4.118430
Block 2: 3.209368
Block 3: 4.055549
Block 0: 3.651425
Block 1: 4.528688
Block 2: 3.868791
Block 3: 4.486016
Block 0: 3.548813
Block 1: 4.599122
Block 2: 3.564542
Block 3: 4.422865
Block 0: 3.901000
Block 1: 4.264277
Block 2: 4.020197
Block 3: 4.799216
Block 0: 3.562122
Block 1: 4.417551
Block 2: 3.647397
Block 3: 4.204145
Block 0: 3.651803
Block 1: 4.371784
Block 2: 4.003442
Block 3: 4.898255
Block 0: 3.399848
Block 1: 4.330886
Block 2: 3.725811
Block 3: 4.249496
Block 0: 3.758691
Block 1: 4.674109
Block 2: 3.598527
Block 3: 4.609193
Block 0: 3.222306
Block 1: 4.044880
Block 2: 3.476655
Block 3: 4.275407
Block 0: 3.612516
Block 1: 4.692911
Block 2: 3.825164
Block 3: 4.931480
Block 0: 3.575479
Block 1: 4.288629
Block 2: 3.729939
Block 3: 4.659630
Block 0: 3.649947
Block 1: 3.728482
Block 2: 3.504618
Block 3: 4.622388
Block 0: 3.746702
Block 1: 4.852056
Block 2: 4.399602
Block 3: 4.776959
Block 0: 3.804899
Block 1: 4.527458
Block 2: 3.959980
Block 3: 4.727467
Block 0: 3.675146
Block 1: 4.497977
Block 2: 3.785249
Block 3: 4.590940
Block 0: 3.729152
Block 1: 4.687984
Block 2: 3.831490
Block 3: 4.515535
Block 0: 3.938606
Block 1: 4.728076
Block 2: 3.899753
Block 3: 4.872544
Block 0: 3.564960
Block 1: 4.226671
Block 2: 3.958282
Block 3: 4.863851
Block 0: 3.418128
Block 1: 4.255025
Block 2: 3.738331
Block 3: 4.561755
Block 0: 3.831172
Block 1: 4.450466
Block 2: 3.801583
Block 3: 4.957878
Block 0: 3.670456
Block 1: 4.549604
Block 2: 3.767883
Block 3: 4.775110
Block 0: 3.667863
Block 1: 4.325154
Block 2: 3.842807
Block 3: 4.581600
Block 0: 4.146477
Block 1: 4.498518
Block 2: 4.122567
Block 3: 4.869235
Block 0: 3.328351
Block 1: 4.029042
Block 2: 3.607639
Block 3: 4.073163
Block 0: 3.904923
Block 1: 4.499478
Block 2: 4.281518
Block 3: 4.790328
Block 0: 3.740837
Block 1: 4.569517
Block 2: 4.075469
Block 3: 4.965763
Block 0: 3.372001
Block 1: 4.334919
Block 2: 3.421684
Block 3: 3.868242
Block 0: 3.393824
Block 1: 4.206902
Block 2: 3.446545
Block 3: 4.582437
Block 0: 3.601774
Block 1: 4.480007
Block 2: 3.582422
Block 3: 4.841277
Block 0: 3.508512
Block 1: 4.470662
Block 2: 3.690672
Block 3: 4.760836
Block 0: 3.622625
Block 1: 4.211849
Block 2: 3.765462
Block 3: 4.706680
Block 0: 3.105364
Block 1: 4.274526
Block 2: 3.461719
Block 3: 4.465595
Block 0: 3.553210
Block 1: 4.758341
Block 2: 3.573111
Block 3: 4.744106
Block 0: 3.955124
Block 1: 4.658402
Block 2: 4.170711
Block 3: 5.217663
Block 0: 3.504445
Block 1: 4.429790
Block 2: 3.655342
Block 3: 4.692537
Block 0: 3.849553
Block 1: 4.588212
Block 2: 4.093185
Block 3: 4.891363
Block 0: 3.776026
Block 1: 4.179987
Block 2: 3.561546
Block 3: 4.599649
Block 0: 3.584843
Block 1: 4.261979
Block 2: 3.703641
Block 3: 4.917320
Block 0: 3.878903
Block 1: 4.706353
Block 2: 3.819382
Block 3: 4.618474
Block 0: 3.723623
Block 1: 4.598269
Block 2: 3.888826
Block 3: 4.967697
Block 0: 3.635618
Block 1: 4.606803
Block 2: 3.706511
Block 3: 4.947176
Block 0: 3.726250
Block 1: 4.269876
Block 2: 4.015820
Block 3: 4.943629
Block 0: 3.469722
Block 1: 4.206389
Block 2: 3.713531
Block 3: 4.459883
Block 0: 3.612135
Block 1: 4.337591
Block 2: 3.649064
Block 3: 4.491451
Block 0: 3.244293
Block 1: 4.231083
Block 2: 3.415119
Block 3: 4.257950
Block 0: 3.278764
Block 1: 4.310760
Block 2: 3.528300
Block 3: 4.806849
Block 0: 3.268846
Block 1: 4.423372
Block 2: 3.419997
Block 3: 4.525481
Block 0: 3.731798
Block 1: 4.226738
Block 2: 3.619013
Block 3: 4.410588
Block 0: 3.803680
Block 1: 4.244196
Block 2: 3.806526
Block 3: 4.649363
Block 0: 3.630904
Block 1: 4.627505
Block 2: 3.834836
Block 3: 4.815492
Block 0: 3.375442
Block 1: 4.659491
Block 2: 3.967683
Block 3: 4.690978
Block 0: 3.258804
Block 1: 4.232521
Block 2: 3.403496
Block 3: 4.570536
Block 0: 3.729662
Block 1: 4.147301
Block 2: 3.826266
Block 3: 4.631820
Block 0: 3.829312
Block 1: 4.562263
Block 2: 4.036710
Block 3: 4.851207
Block 0: 3.599748
Block 1: 4.642381
Block 2: 3.720368
Block 3: 4.681654
Block 0: 3.995788
Block 1: 4.354573
Block 2: 3.992203
Block 3: 4.815906
Block 0: 3.298084
Block 1: 4.283785
Block 2: 3.740570
Block 3: 4.343371
Block 0: 3.241702
Block 1: 4.635935
Block 2: 3.569206
Block 3: 4.801304
Block 0: 4.116642
Block 1: 4.663165
Block 2: 4.480515
Block 3: 4.859959
Block 0: 3.373921
