Input points: 256
Block 0: 1.793831
Block 1: 0.611566
Block 2: 0.385691
Block 3: 0.076456
Block 0: 1.759030
Block 1: 0.716440
Block 2: 0.487217
Block 3: 0.065048
Block 0: 1.711140
Block 1: 0.561801
Block 2: 0.336760
Block 3: 0.120437
Block 0: 2.001449
Block 1: 0.777946
Block 2: 0.652768
Block 3: 0.285589
Block 0: 2.070849
Block 1: 0.677056
Block 2: 0.460484
Block 3: 0.078258
Block 0: 1.877161
Block 1: 0.827424
Block 2: 0.526093
Block 3: 0.226693
Block 0: 1.875972
Block 1: 0.768533
Block 2: 0.507525
Block 3: 0.036843
Block 0: 1.863395
Block 1: 0.706499
Block 2: 0.403815
Block 3: 0.187070
Block 0: 1.727431
Block 1: 0.613282
Block 2: 0.378139
Block 3: 0.060765
Block 0: 1.858318
Block 1: 0.755021
Block 2: 0.417284
Block 3: 0.094475
Block 0: 2.015428
Block 1: 0.834284
Block 2: 0.459595
Block 3: 0.174524
Block 0: 1.785901
Block 1: 0.691057
Block 2: 0.505609
Block 3: 0.118167
Block 0: 1.993252
Block 1: 0.788814
Block 2: 0.650227
Block 3: 0.231662
Block 0: 1.937397
Block 1: 0.808143
Block 2: 0.488345
Block 3: 0.114680
Block 0: 1.956989
Block 1: 0.751698
Block 2: 0.532380
Block 3: 0.147120
Block 0: 1.581087
Block 1: 0.703790
Block 2: 0.438960
Block 3: 0.055087
Block 0: 1.649805
Block 1: 0.749244
Block 2: 0.392804
Block 3: 0.148849
Block 0: 1.954355
Block 1: 0.740477
Block 2: 0.329433
Block 3: 0.139392
Block 0: 1.738720
Block 1: 0.696979
Block 2: 0.452511
Block 3: 0.135397
Block 0: 2.147380
Block 1: 0.792941
Block 2: 0.507037
Block 3: 0.174587
Block 0: 1.961383
Block 1: 0.740541
Block 2: 0.464343
Block 3: 0.105602
Block 0: 1.987819
Block 1: 0.877074
Block 2: 0.471651
Block 3: 0.208561
Block 0: 1.996491
Block 1: 0.840321
Block 2: 0.568500
Block 3: 0.106862
Block 0: 2.155660
Block 1: 0.976630
Block 2: 0.430315
Block 3: 0.266482
Block 0: 1.868192
Block 1: 0.654403
Block 2: 0.421349
Block 3: 0.067652
Block 0: 1.720354
Block 1: 0.769935
Block 2: 0.575535
Block 3: 0.160715
Block 0: 1.927611
Block 1: 0.566601
Block 2: 0.348601
Block 3: 0.091136
Block 0: 2.060492
Block 1: 0.860802
Block 2: 0.651979
Block 3: 0.272507
Block 0: 1.707677
Block 1: 0.742769
Block 2: 0.396640
Block 3: 0.068373
Block 0: 2.068465
Block 1: 0.637472
Block 2: 0.375945
Block 3: 0.102106
Block 0: 1.753222
Block 1: 0.631641
Block 2: 0.404030
Block 3: 0.087625
Block 0: 2.196437
Block 1: 0.798630
Block 2: 0.637848
Block 3: 0.149895
Block 0: 1.697585
Block 1: 0.635258
Block 2: 0.433042
Block 3: 0.105807
Block 0: 1.845483
Block 1: 0.684806
Block 2: 0.436206
Block 3: 0.082408
Block 0: 1.880982
Block 1: 0.580797
Block 2: 0.402239
Block 3: 0.143347
Block 0: 2.037243
Block 1: 0.722979
Block 2: 0.468498
Block 3: 0.155718
Block 0: 1.913998
Block 1: 0.704564
Block 2: 0.422473
Block 3: 0.088744
Block 0: 1.755194
Block 1: 0.727510
Block 2: 0.457862
Block 3: 0.118761
Block 0: 1.906963
Block 1: 0.802529
Block 2: 0.527113
Block 3: 0.154509
Block 0: 1.773701
Block 1: 0.565604
Block 2: 0.351901
Block 3: 0.170972
Block 0: 1.796683
Block 1: 0.638762
Block 2: 0.386323
Block 3: 0.080127
Block 0: 1.622804
Block 1: 0.668852
Block 2: 0.410148
Block 3: 0.059722
Block 0: 1.933072
Block 1: 0.642158
Block 2: 0.451780
Block 3: 0.149070
Block 0: 1.692230
Block 1: 0.699013
Block 2: 0.307801
Block 3: 0.074365
Block 0: 1.547096
Block 1: 0.794436
Block 2: 0.392882
Block 3: 0.080278
Block 0: 2.024450
Block 1: 0.720196
Block 2: 0.518895
Block 3: 0.127090
Block 0: 1.841653
Block 1: 0.613582
Block 2: 0.453694
Block 3: 0.078448
Block 0: 1.711244
Block 1: 0.639792
Block 2: 0.321825
Block 3: 0.035430
Block 0: 1.862676
Block 1: 0.689711
Block 2: 0.502130
Block 3: 0.058368
Block 0: 1.747541
Block 1: 0.695190
Block 2: 0.473175
Block 3: 0.090280
Block 0: 2.087024
Block 1: 0.833517
Block 2: 0.597201
Block 3: 0.182843
Block 0: 1.877861
Block 1: 0.697973
Block 2: 0.326089
Block 3: 0.162012
Block 0: 1.757295
Block 1: 0.686060
Block 2: 0.360840
Block 3: 0.045261
Block 0: 2.052099
Block 1: 0.677709
Block 2: 0.585654
Block 3: 0.151623
Block 0: 1.930264
Block 1: 0.794136
Block 2: 0.596643
Block 3: 0.131630
Block 0: 1.875597
Block 1: 0.659114
Block 2: 0.408796
Block 3: 0.029422
Block 0: 1.840081
Block 1: 0.611844
Block 2: 0.469524
Block 3: 0.053231
Block 0: 1.799404
Block 1: 0.787551
Block 2: 0.600025
Block 3: 0.091772
Block 0: 1.931698
Block 1: 0.847745
Block 2: 0.545877
Block 3: 0.176495
Block 0: 1.933334
Block 1: 0.680496
Block 2: 0.544758
Block 3: 0.103727
Block 0: 1.563555
Block 1: 0.622401
Block 2: 0.418615
Block 3: 0.088760
Block 0: 1.945837
Block 1: 0.704552
Block 2: 0.475702
Block 3: 0.236107
Block 0: 1.660131
Block 1: 0.550406
Block 2: 0.305852
Block 3: 0.103061
Block 0: 1.785883
Block 1: 0.702404
Block 2: 0.499586
Block 3: 0.068891
Block 0: 1.834904
Block 1: 0.599299
Block 2: 0.419914
Block 3: 0.103687
Block 0: 1.816864
Block 1: 0.584850
Block 2: 0.506707
Block 3: 0.060739
Block 0: 1.768282
Block 1: 0.666950
Block 2: 0.536686
