Namespace(model='pct', exp_name='train_pct', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Train 0, loss: 3.268096, train acc: 0.239583, train avg acc: 0.110680
Test 0, loss: 2.967616, test acc: 0.339806, test avg acc: 0.227260
Train 1, loss: 2.656946, train acc: 0.454657, train avg acc: 0.238287
Test 1, loss: 2.468659, test acc: 0.507282, test avg acc: 0.372914
Train 2, loss: 2.433012, train acc: 0.544730, train avg acc: 0.336293
Test 2, loss: 2.246919, test acc: 0.580097, test avg acc: 0.456825
Train 3, loss: 2.280339, train acc: 0.602328, train avg acc: 0.398608
Test 3, loss: 2.151486, test acc: 0.652913, test avg acc: 0.513375
Train 4, loss: 2.211673, train acc: 0.638480, train avg acc: 0.451104
Test 4, loss: 1.998692, test acc: 0.686893, test avg acc: 0.556714
Train 5, loss: 2.105991, train acc: 0.680147, train avg acc: 0.489902
Test 5, loss: 1.941404, test acc: 0.733010, test avg acc: 0.632646
Train 6, loss: 2.018373, train acc: 0.721201, train avg acc: 0.547795
Test 6, loss: 1.906033, test acc: 0.781553, test avg acc: 0.644074
Train 7, loss: 1.957348, train acc: 0.741422, train avg acc: 0.580924
Test 7, loss: 1.887524, test acc: 0.771845, test avg acc: 0.649446
Train 8, loss: 1.967283, train acc: 0.725490, train avg acc: 0.580309
Test 8, loss: 1.860857, test acc: 0.783981, test avg acc: 0.692235
Train 9, loss: 1.930748, train acc: 0.762255, train avg acc: 0.623862
Test 9, loss: 1.796487, test acc: 0.832524, test avg acc: 0.711525
Train 10, loss: 1.921388, train acc: 0.762868, train avg acc: 0.638210
Test 10, loss: 1.773301, test acc: 0.830097, test avg acc: 0.723738
Train 11, loss: 1.903741, train acc: 0.780637, train avg acc: 0.660358
Test 11, loss: 1.768300, test acc: 0.817961, test avg acc: 0.722151
Train 12, loss: 1.862852, train acc: 0.796569, train avg acc: 0.681918
Test 12, loss: 1.783717, test acc: 0.827670, test avg acc: 0.725679
Train 13, loss: 1.844839, train acc: 0.798407, train avg acc: 0.681716
Test 13, loss: 1.719894, test acc: 0.839806, test avg acc: 0.735499
Train 14, loss: 1.814211, train acc: 0.806373, train avg acc: 0.683278
Test 14, loss: 1.716674, test acc: 0.834951, test avg acc: 0.749443
Train 15, loss: 1.820272, train acc: 0.806985, train avg acc: 0.697013
Test 15, loss: 1.739597, test acc: 0.837379, test avg acc: 0.744215
Train 16, loss: 1.809082, train acc: 0.815564, train avg acc: 0.715724
Test 16, loss: 1.730784, test acc: 0.815534, test avg acc: 0.728488
Train 17, loss: 1.803974, train acc: 0.814951, train avg acc: 0.706284
Test 17, loss: 1.720430, test acc: 0.842233, test avg acc: 0.759721
Train 18, loss: 1.770642, train acc: 0.829657, train avg acc: 0.733823
Test 18, loss: 1.716579, test acc: 0.830097, test avg acc: 0.744473
Train 19, loss: 1.769058, train acc: 0.821078, train avg acc: 0.717058
Test 19, loss: 1.717899, test acc: 0.847087, test avg acc: 0.779179
Train 20, loss: 1.734502, train acc: 0.834559, train avg acc: 0.733213
Test 20, loss: 1.693914, test acc: 0.844660, test avg acc: 0.753227
Train 21, loss: 1.767478, train acc: 0.830270, train avg acc: 0.731372
Test 21, loss: 1.677925, test acc: 0.847087, test avg acc: 0.765541
Train 22, loss: 1.750881, train acc: 0.826593, train avg acc: 0.724773
Test 22, loss: 1.684896, test acc: 0.854369, test avg acc: 0.763043
Train 23, loss: 1.739040, train acc: 0.834559, train avg acc: 0.759675
Test 23, loss: 1.666520, test acc: 0.859223, test avg acc: 0.771831
Train 24, loss: 1.743144, train acc: 0.833333, train avg acc: 0.743558
Test 24, loss: 1.665021, test acc: 0.859223, test avg acc: 0.769206
Train 25, loss: 1.744173, train acc: 0.825368, train avg acc: 0.731404
Test 25, loss: 1.651332, test acc: 0.864078, test avg acc: 0.777438
Train 26, loss: 1.691771, train acc: 0.862132, train avg acc: 0.789554
Test 26, loss: 1.636031, test acc: 0.873786, test avg acc: 0.772276
Train 27, loss: 1.733020, train acc: 0.836397, train avg acc: 0.748889
Test 27, loss: 1.661215, test acc: 0.847087, test avg acc: 0.754190
Train 28, loss: 1.708408, train acc: 0.844363, train avg acc: 0.762955
Test 28, loss: 1.630257, test acc: 0.856796, test avg acc: 0.760339
Train 29, loss: 1.673583, train acc: 0.868260, train avg acc: 0.780587
Test 29, loss: 1.639640, test acc: 0.856796, test avg acc: 0.777688
Train 30, loss: 1.700591, train acc: 0.851103, train avg acc: 0.769208
Test 30, loss: 1.656646, test acc: 0.856796, test avg acc: 0.775160
Train 31, loss: 1.684724, train acc: 0.868873, train avg acc: 0.797858
Test 31, loss: 1.631650, test acc: 0.854369, test avg acc: 0.764890
Train 32, loss: 1.665363, train acc: 0.860294, train avg acc: 0.778771
Test 32, loss: 1.626628, test acc: 0.866505, test avg acc: 0.772729
Train 33, loss: 1.663498, train acc: 0.875000, train avg acc: 0.795933
Test 33, loss: 1.634584, test acc: 0.851942, test avg acc: 0.758769
Train 34, loss: 1.665509, train acc: 0.867647, train avg acc: 0.796320
Test 34, loss: 1.637137, test acc: 0.861650, test avg acc: 0.773938
Train 35, loss: 1.642745, train acc: 0.867647, train avg acc: 0.807036
Test 35, loss: 1.635173, test acc: 0.851942, test avg acc: 0.779888
Train 36, loss: 1.668816, train acc: 0.865809, train avg acc: 0.794785
Test 36, loss: 1.608754, test acc: 0.876214, test avg acc: 0.788929
Train 37, loss: 1.648891, train acc: 0.876838, train avg acc: 0.799290
Test 37, loss: 1.625812, test acc: 0.864078, test avg acc: 0.785643
Train 38, loss: 1.636389, train acc: 0.872549, train avg acc: 0.802422
Test 38, loss: 1.620174, test acc: 0.873786, test avg acc: 0.781567
Train 39, loss: 1.636240, train acc: 0.871324, train avg acc: 0.801764
Test 39, loss: 1.618502, test acc: 0.849515, test avg acc: 0.769146
Train 40, loss: 1.650967, train acc: 0.869485, train avg acc: 0.810036
Test 40, loss: 1.601259, test acc: 0.888350, test avg acc: 0.803617
Train 41, loss: 1.630593, train acc: 0.880515, train avg acc: 0.807224
Test 41, loss: 1.597551, test acc: 0.881068, test avg acc: 0.794484
Train 42, loss: 1.631329, train acc: 0.877451, train avg acc: 0.818574
Test 42, loss: 1.602445, test acc: 0.876214, test avg acc: 0.804453
