Namespace(model='pctgrid', exp_name='train_pctgrid', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Train 0, loss: 3.217289, train acc: 0.262255, train avg acc: 0.127104
Test 0, loss: 2.979594, test acc: 0.344660, test avg acc: 0.227989
Train 1, loss: 2.647225, train acc: 0.476103, train avg acc: 0.255165
Test 1, loss: 2.431964, test acc: 0.504854, test avg acc: 0.385436
Train 2, loss: 2.436940, train acc: 0.556985, train avg acc: 0.342974
Test 2, loss: 2.236005, test acc: 0.606796, test avg acc: 0.453695
Train 3, loss: 2.258909, train acc: 0.619485, train avg acc: 0.417710
Test 3, loss: 2.124386, test acc: 0.650485, test avg acc: 0.500199
Train 4, loss: 2.195375, train acc: 0.648284, train avg acc: 0.463202
Test 4, loss: 2.030045, test acc: 0.691748, test avg acc: 0.535828
Train 5, loss: 2.099720, train acc: 0.675245, train avg acc: 0.496259
Test 5, loss: 1.922735, test acc: 0.733010, test avg acc: 0.603353
Train 6, loss: 2.036072, train acc: 0.709559, train avg acc: 0.541348
Test 6, loss: 1.898088, test acc: 0.766990, test avg acc: 0.650829
Train 7, loss: 1.993763, train acc: 0.726716, train avg acc: 0.565156
Test 7, loss: 1.895769, test acc: 0.771845, test avg acc: 0.670800
Train 8, loss: 1.991435, train acc: 0.727328, train avg acc: 0.581697
Test 8, loss: 1.851426, test acc: 0.786408, test avg acc: 0.700195
Train 9, loss: 1.929002, train acc: 0.761029, train avg acc: 0.614056
Test 9, loss: 1.814613, test acc: 0.815534, test avg acc: 0.687432
Train 10, loss: 1.941926, train acc: 0.765319, train avg acc: 0.642383
Test 10, loss: 1.828610, test acc: 0.800971, test avg acc: 0.697716
Train 11, loss: 1.927066, train acc: 0.757353, train avg acc: 0.619041
Test 11, loss: 1.805699, test acc: 0.813107, test avg acc: 0.710473
Train 12, loss: 1.867501, train acc: 0.775735, train avg acc: 0.638638
Test 12, loss: 1.848907, test acc: 0.776699, test avg acc: 0.702369
Train 13, loss: 1.834835, train acc: 0.796569, train avg acc: 0.684005
Test 13, loss: 1.735900, test acc: 0.839806, test avg acc: 0.748038
Train 14, loss: 1.818911, train acc: 0.805147, train avg acc: 0.685213
Test 14, loss: 1.737907, test acc: 0.842233, test avg acc: 0.749874
