Namespace(model='pctrope', exp_name='train_pctrope', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Train 0, loss: 3.200879, train acc: 0.266544, train avg acc: 0.133218
Test 0, loss: 2.940473, test acc: 0.347087, test avg acc: 0.226392
Train 1, loss: 2.622210, train acc: 0.479779, train avg acc: 0.258401
Test 1, loss: 2.358973, test acc: 0.577670, test avg acc: 0.421469
Train 2, loss: 2.408650, train acc: 0.565564, train avg acc: 0.349261
Test 2, loss: 2.209884, test acc: 0.614078, test avg acc: 0.494180
Train 3, loss: 2.259040, train acc: 0.618260, train avg acc: 0.425125
Test 3, loss: 2.073360, test acc: 0.682039, test avg acc: 0.533927
Train 4, loss: 2.195116, train acc: 0.631740, train avg acc: 0.437352
Test 4, loss: 1.987983, test acc: 0.725728, test avg acc: 0.584342
Train 5, loss: 2.094908, train acc: 0.686275, train avg acc: 0.512886
Test 5, loss: 1.915239, test acc: 0.762136, test avg acc: 0.636812
Train 6, loss: 2.041147, train acc: 0.716912, train avg acc: 0.547551
Test 6, loss: 1.929825, test acc: 0.752427, test avg acc: 0.626947
Train 7, loss: 1.986255, train acc: 0.746936, train avg acc: 0.590537
Test 7, loss: 1.866577, test acc: 0.798544, test avg acc: 0.684876
Train 8, loss: 1.958541, train acc: 0.740809, train avg acc: 0.596492
Test 8, loss: 1.834503, test acc: 0.791262, test avg acc: 0.690447
Train 9, loss: 1.933342, train acc: 0.756127, train avg acc: 0.616840
Test 9, loss: 1.807756, test acc: 0.805825, test avg acc: 0.707615
Train 10, loss: 1.925344, train acc: 0.765931, train avg acc: 0.630539
Test 10, loss: 1.786284, test acc: 0.825243, test avg acc: 0.721210
Train 11, loss: 1.908139, train acc: 0.771446, train avg acc: 0.655105
Test 11, loss: 1.783656, test acc: 0.825243, test avg acc: 0.719236
Train 12, loss: 1.877535, train acc: 0.775123, train avg acc: 0.651018
Test 12, loss: 1.823043, test acc: 0.796117, test avg acc: 0.711925
Train 13, loss: 1.848327, train acc: 0.803922, train avg acc: 0.681655
Test 13, loss: 1.726144, test acc: 0.839806, test avg acc: 0.746090
Train 14, loss: 1.824855, train acc: 0.801471, train avg acc: 0.686092
Test 14, loss: 1.727579, test acc: 0.849515, test avg acc: 0.758899
Train 15, loss: 1.833491, train acc: 0.812500, train avg acc: 0.695073
Test 15, loss: 1.753827, test acc: 0.837379, test avg acc: 0.745251
Train 16, loss: 1.819032, train acc: 0.810049, train avg acc: 0.708147
Test 16, loss: 1.726824, test acc: 0.837379, test avg acc: 0.755715
Train 17, loss: 1.800444, train acc: 0.806985, train avg acc: 0.700119
Test 17, loss: 1.692646, test acc: 0.851942, test avg acc: 0.754075
Train 18, loss: 1.802609, train acc: 0.817402, train avg acc: 0.706090
Test 18, loss: 1.701817, test acc: 0.847087, test avg acc: 0.752024
Train 19, loss: 1.782179, train acc: 0.818015, train avg acc: 0.720426
Test 19, loss: 1.704245, test acc: 0.839806, test avg acc: 0.761288
Train 20, loss: 1.750788, train acc: 0.841299, train avg acc: 0.753686
Test 20, loss: 1.700325, test acc: 0.849515, test avg acc: 0.768783
Train 21, loss: 1.780420, train acc: 0.825368, train avg acc: 0.720862
Test 21, loss: 1.668220, test acc: 0.856796, test avg acc: 0.778718
Train 22, loss: 1.770115, train acc: 0.824142, train avg acc: 0.723375
Test 22, loss: 1.672842, test acc: 0.861650, test avg acc: 0.771845
Train 23, loss: 1.748271, train acc: 0.827206, train avg acc: 0.744595
Test 23, loss: 1.672144, test acc: 0.842233, test avg acc: 0.747417
Train 24, loss: 1.741265, train acc: 0.831495, train avg acc: 0.742847
Test 24, loss: 1.679675, test acc: 0.861650, test avg acc: 0.769953
Train 25, loss: 1.759045, train acc: 0.824755, train avg acc: 0.744638
Test 25, loss: 1.674252, test acc: 0.839806, test avg acc: 0.769812
Train 26, loss: 1.709813, train acc: 0.859681, train avg acc: 0.782967
Test 26, loss: 1.656728, test acc: 0.859223, test avg acc: 0.777608
Train 27, loss: 1.734844, train acc: 0.838235, train avg acc: 0.759556
Test 27, loss: 1.655618, test acc: 0.851942, test avg acc: 0.765910
Train 28, loss: 1.735302, train acc: 0.840686, train avg acc: 0.757996
Test 28, loss: 1.632737, test acc: 0.861650, test avg acc: 0.786533
Train 29, loss: 1.680171, train acc: 0.863971, train avg acc: 0.779166
Test 29, loss: 1.635024, test acc: 0.854369, test avg acc: 0.783683
Train 30, loss: 1.711096, train acc: 0.843137, train avg acc: 0.755082
Test 30, loss: 1.644303, test acc: 0.859223, test avg acc: 0.785801
Train 31, loss: 1.699389, train acc: 0.850490, train avg acc: 0.761907
Test 31, loss: 1.646894, test acc: 0.847087, test avg acc: 0.765517
Train 32, loss: 1.681229, train acc: 0.857230, train avg acc: 0.776485
Test 32, loss: 1.645783, test acc: 0.871359, test avg acc: 0.790415
Train 33, loss: 1.683322, train acc: 0.859681, train avg acc: 0.786001
Test 33, loss: 1.665866, test acc: 0.839806, test avg acc: 0.781168
Train 34, loss: 1.683389, train acc: 0.864583, train avg acc: 0.788791
Test 34, loss: 1.652735, test acc: 0.864078, test avg acc: 0.781839
Train 35, loss: 1.681496, train acc: 0.865809, train avg acc: 0.807251
Test 35, loss: 1.638225, test acc: 0.849515, test avg acc: 0.768802
Train 36, loss: 1.676397, train acc: 0.867647, train avg acc: 0.798870
Test 36, loss: 1.626568, test acc: 0.876214, test avg acc: 0.791766
Train 37, loss: 1.658328, train acc: 0.873162, train avg acc: 0.787012
Test 37, loss: 1.622017, test acc: 0.866505, test avg acc: 0.793492
Train 38, loss: 1.656401, train acc: 0.875613, train avg acc: 0.814722
Test 38, loss: 1.616793, test acc: 0.868932, test avg acc: 0.783928
Train 39, loss: 1.653326, train acc: 0.870098, train avg acc: 0.792381
Test 39, loss: 1.633195, test acc: 0.868932, test avg acc: 0.787419
Train 40, loss: 1.667094, train acc: 0.867647, train avg acc: 0.815499
Test 40, loss: 1.618885, test acc: 0.883495, test avg acc: 0.796193
Train 41, loss: 1.635725, train acc: 0.885417, train avg acc: 0.824552
Test 41, loss: 1.611992, test acc: 0.878641, test avg acc: 0.792531
Train 42, loss: 1.645122, train acc: 0.875613, train avg acc: 0.822905
Test 42, loss: 1.619407, test acc: 0.861650, test avg acc: 0.783957
Train 43, loss: 1.659066, train acc: 0.867034, train avg acc: 0.796709
Test 43, loss: 1.605298, test acc: 0.871359, test avg acc: 0.779092
Train 44, loss: 1.628899, train acc: 0.883578, train avg acc: 0.814055
Test 44, loss: 1.615486, test acc: 0.871359, test avg acc: 0.786466
Train 45, loss: 1.643076, train acc: 0.876838, train avg acc: 0.813230
Test 45, loss: 1.613431, test acc: 0.866505, test avg acc: 0.779361
