Namespace(model='pctxyz', exp_name='train_pctxyz', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Train 0, loss: 3.275244, train acc: 0.232230, train avg acc: 0.111229
Test 0, loss: 2.929699, test acc: 0.313107, test avg acc: 0.207678
Train 1, loss: 2.675944, train acc: 0.455882, train avg acc: 0.248863
Test 1, loss: 2.423134, test acc: 0.533981, test avg acc: 0.399746
Train 2, loss: 2.435841, train acc: 0.534926, train avg acc: 0.324358
Test 2, loss: 2.203604, test acc: 0.611650, test avg acc: 0.486446
Train 3, loss: 2.263309, train acc: 0.605392, train avg acc: 0.396607
Test 3, loss: 2.046596, test acc: 0.706311, test avg acc: 0.572977
Train 4, loss: 2.170259, train acc: 0.662990, train avg acc: 0.480205
Test 4, loss: 1.992962, test acc: 0.701456, test avg acc: 0.571244
Train 5, loss: 2.095129, train acc: 0.680147, train avg acc: 0.502363
Test 5, loss: 1.905337, test acc: 0.762136, test avg acc: 0.653892
Train 6, loss: 2.010432, train acc: 0.732230, train avg acc: 0.579794
Test 6, loss: 1.844984, test acc: 0.783981, test avg acc: 0.658538
Train 7, loss: 1.984632, train acc: 0.735294, train avg acc: 0.575080
Test 7, loss: 1.863841, test acc: 0.774272, test avg acc: 0.669208
Train 8, loss: 1.953387, train acc: 0.754902, train avg acc: 0.621221
Test 8, loss: 1.834675, test acc: 0.798544, test avg acc: 0.690023
Train 9, loss: 1.938554, train acc: 0.764093, train avg acc: 0.624435
Test 9, loss: 1.793973, test acc: 0.808252, test avg acc: 0.699947
Train 10, loss: 1.926478, train acc: 0.761642, train avg acc: 0.629270
Test 10, loss: 1.790099, test acc: 0.817961, test avg acc: 0.721605
Train 11, loss: 1.899537, train acc: 0.786765, train avg acc: 0.673259
Test 11, loss: 1.779477, test acc: 0.825243, test avg acc: 0.744131
Train 12, loss: 1.874707, train acc: 0.788603, train avg acc: 0.668988
Test 12, loss: 1.773637, test acc: 0.822816, test avg acc: 0.736675
Train 13, loss: 1.848228, train acc: 0.803309, train avg acc: 0.684099
Test 13, loss: 1.745349, test acc: 0.837379, test avg acc: 0.743543
Train 14, loss: 1.816626, train acc: 0.810049, train avg acc: 0.687505
Test 14, loss: 1.743825, test acc: 0.847087, test avg acc: 0.740524
Train 15, loss: 1.836792, train acc: 0.800245, train avg acc: 0.677472
Test 15, loss: 1.743859, test acc: 0.822816, test avg acc: 0.752877
Train 16, loss: 1.820543, train acc: 0.800245, train avg acc: 0.692364
Test 16, loss: 1.738615, test acc: 0.820388, test avg acc: 0.745449
Train 17, loss: 1.800930, train acc: 0.813725, train avg acc: 0.711580
Test 17, loss: 1.710716, test acc: 0.839806, test avg acc: 0.764318
Train 18, loss: 1.791679, train acc: 0.820466, train avg acc: 0.721836
Test 18, loss: 1.702093, test acc: 0.854369, test avg acc: 0.761646
Train 19, loss: 1.775139, train acc: 0.821078, train avg acc: 0.723815
Test 19, loss: 1.702487, test acc: 0.847087, test avg acc: 0.778022
Train 20, loss: 1.764156, train acc: 0.827819, train avg acc: 0.724047
Test 20, loss: 1.712395, test acc: 0.839806, test avg acc: 0.780479
Train 21, loss: 1.769399, train acc: 0.829044, train avg acc: 0.728523
Test 21, loss: 1.669291, test acc: 0.859223, test avg acc: 0.772732
Train 22, loss: 1.768844, train acc: 0.821078, train avg acc: 0.717515
Test 22, loss: 1.675422, test acc: 0.854369, test avg acc: 0.769087
Train 23, loss: 1.741751, train acc: 0.835172, train avg acc: 0.748729
Test 23, loss: 1.683945, test acc: 0.851942, test avg acc: 0.784314
Train 24, loss: 1.718788, train acc: 0.840074, train avg acc: 0.748454
Test 24, loss: 1.678531, test acc: 0.847087, test avg acc: 0.761396
Train 25, loss: 1.749394, train acc: 0.833946, train avg acc: 0.745555
Test 25, loss: 1.658778, test acc: 0.864078, test avg acc: 0.790465
Train 26, loss: 1.687394, train acc: 0.862745, train avg acc: 0.781892
Test 26, loss: 1.652706, test acc: 0.856796, test avg acc: 0.767754
Train 27, loss: 1.743616, train acc: 0.825368, train avg acc: 0.734809
Test 27, loss: 1.662815, test acc: 0.859223, test avg acc: 0.778483
Train 28, loss: 1.731614, train acc: 0.844975, train avg acc: 0.773335
Test 28, loss: 1.645867, test acc: 0.851942, test avg acc: 0.759190
Train 29, loss: 1.681749, train acc: 0.864583, train avg acc: 0.780488
Test 29, loss: 1.644750, test acc: 0.861650, test avg acc: 0.781614
Train 30, loss: 1.709184, train acc: 0.852941, train avg acc: 0.769334
Test 30, loss: 1.655056, test acc: 0.851942, test avg acc: 0.762726
Train 31, loss: 1.685246, train acc: 0.867034, train avg acc: 0.795321
Test 31, loss: 1.639943, test acc: 0.856796, test avg acc: 0.770755
Train 32, loss: 1.678117, train acc: 0.867034, train avg acc: 0.795833
Test 32, loss: 1.643086, test acc: 0.871359, test avg acc: 0.782970
Train 33, loss: 1.680823, train acc: 0.865809, train avg acc: 0.773517
Test 33, loss: 1.659159, test acc: 0.856796, test avg acc: 0.779994
Train 34, loss: 1.681101, train acc: 0.862132, train avg acc: 0.783446
Test 34, loss: 1.641020, test acc: 0.864078, test avg acc: 0.783840
Train 35, loss: 1.667664, train acc: 0.866422, train avg acc: 0.800557
Test 35, loss: 1.631713, test acc: 0.861650, test avg acc: 0.770673
Train 36, loss: 1.659166, train acc: 0.873775, train avg acc: 0.808006
Test 36, loss: 1.623070, test acc: 0.856796, test avg acc: 0.775021
Train 37, loss: 1.656334, train acc: 0.878676, train avg acc: 0.804101
Test 37, loss: 1.629949, test acc: 0.859223, test avg acc: 0.774940
Train 38, loss: 1.669737, train acc: 0.868260, train avg acc: 0.789584
Test 38, loss: 1.633533, test acc: 0.854369, test avg acc: 0.784693
Train 39, loss: 1.635203, train acc: 0.887868, train avg acc: 0.823797
Test 39, loss: 1.627526, test acc: 0.856796, test avg acc: 0.791809
Train 40, loss: 1.660167, train acc: 0.856618, train avg acc: 0.786275
Test 40, loss: 1.605401, test acc: 0.876214, test avg acc: 0.792049
Train 41, loss: 1.641248, train acc: 0.883578, train avg acc: 0.813915
Test 41, loss: 1.612412, test acc: 0.868932, test avg acc: 0.796025
Train 42, loss: 1.646539, train acc: 0.877451, train avg acc: 0.820931
Test 42, loss: 1.613589, test acc: 0.876214, test avg acc: 0.810611
Train 43, loss: 1.646306, train acc: 0.872549, train avg acc: 0.807543
Test 43, loss: 1.600908, test acc: 0.871359, test avg acc: 0.795343
Train 44, loss: 1.632155, train acc: 0.879289, train avg acc: 0.806761
Test 44, loss: 1.614417, test acc: 0.864078, test avg acc: 0.784603
Train 45, loss: 1.633584, train acc: 0.880515, train avg acc: 0.807628
Test 45, loss: 1.615360, test acc: 0.861650, test avg acc: 0.779229
Train 46, loss: 1.626829, train acc: 0.887255, train avg acc: 0.813561
Test 46, loss: 1.608561, test acc: 0.876214, test avg acc: 0.804839
Train 47, loss: 1.621355, train acc: 0.883578, train avg acc: 0.824786
Test 47, loss: 1.618800, test acc: 0.868932, test avg acc: 0.803825
Train 48, loss: 1.606640, train acc: 0.890931, train avg acc: 0.841529
Test 48, loss: 1.595270, test acc: 0.888350, test avg acc: 0.810610
Train 49, loss: 1.608013, train acc: 0.896446, train avg acc: 0.831577
Test 49, loss: 1.612159, test acc: 0.868932, test avg acc: 0.792477
Train 50, loss: 1.605326, train acc: 0.888480, train avg acc: 0.823490
Test 50, loss: 1.594913, test acc: 0.876214, test avg acc: 0.791401
Train 51, loss: 1.626715, train acc: 0.891544, train avg acc: 0.827154
Test 51, loss: 1.605613, test acc: 0.859223, test avg acc: 0.801145
Train 52, loss: 1.609823, train acc: 0.893995, train avg acc: 0.837539
Test 52, loss: 1.604071, test acc: 0.861650, test avg acc: 0.782204
Train 53, loss: 1.603788, train acc: 0.895221, train avg acc: 0.820517
Test 53, loss: 1.597356, test acc: 0.876214, test avg acc: 0.799695
Train 54, loss: 1.610757, train acc: 0.887868, train avg acc: 0.836417
Test 54, loss: 1.593232, test acc: 0.861650, test avg acc: 0.787818
Train 55, loss: 1.604145, train acc: 0.898897, train avg acc: 0.843299
Test 55, loss: 1.597177, test acc: 0.871359, test avg acc: 0.807673
Train 56, loss: 1.611379, train acc: 0.893382, train avg acc: 0.831319
Test 56, loss: 1.598507, test acc: 0.866505, test avg acc: 0.793991
Train 57, loss: 1.604831, train acc: 0.889706, train avg acc: 0.823989
Test 57, loss: 1.592265, test acc: 0.868932, test avg acc: 0.788634
Train 58, loss: 1.587463, train acc: 0.897059, train avg acc: 0.841047
Test 58, loss: 1.593171, test acc: 0.871359, test avg acc: 0.800744
Train 59, loss: 1.584069, train acc: 0.898897, train avg acc: 0.827592
Test 59, loss: 1.601017, test acc: 0.854369, test avg acc: 0.779402
Train 60, loss: 1.594232, train acc: 0.891544, train avg acc: 0.832482
Test 60, loss: 1.580949, test acc: 0.873786, test avg acc: 0.798372
Train 61, loss: 1.601182, train acc: 0.895833, train avg acc: 0.842351
Test 61, loss: 1.585604, test acc: 0.866505, test avg acc: 0.781931
Train 62, loss: 1.582497, train acc: 0.898284, train avg acc: 0.841152
Test 62, loss: 1.584170, test acc: 0.878641, test avg acc: 0.797143
Train 63, loss: 1.590215, train acc: 0.897672, train avg acc: 0.832026
Test 63, loss: 1.582016, test acc: 0.868932, test avg acc: 0.791577
Train 64, loss: 1.586837, train acc: 0.897672, train avg acc: 0.845868
Test 64, loss: 1.592529, test acc: 0.873786, test avg acc: 0.801450
Train 65, loss: 1.577561, train acc: 0.907475, train avg acc: 0.837294
Test 65, loss: 1.586156, test acc: 0.866505, test avg acc: 0.798077
Train 66, loss: 1.579439, train acc: 0.897672, train avg acc: 0.846169
Test 66, loss: 1.586793, test acc: 0.873786, test avg acc: 0.809810
Train 67, loss: 1.590688, train acc: 0.887255, train avg acc: 0.827747
Test 67, loss: 1.587781, test acc: 0.868932, test avg acc: 0.803313
Train 68, loss: 1.573238, train acc: 0.908088, train avg acc: 0.841216
Test 68, loss: 1.582115, test acc: 0.876214, test avg acc: 0.803265
Train 69, loss: 1.570330, train acc: 0.911152, train avg acc: 0.858678
Test 69, loss: 1.577425, test acc: 0.871359, test avg acc: 0.801169
Train 70, loss: 1.597312, train acc: 0.892770, train avg acc: 0.830386
Test 70, loss: 1.579832, test acc: 0.876214, test avg acc: 0.810264
Train 71, loss: 1.568099, train acc: 0.903799, train avg acc: 0.841282
Test 71, loss: 1.581356, test acc: 0.876214, test avg acc: 0.803708
Train 72, loss: 1.562410, train acc: 0.914216, train avg acc: 0.857002
Test 72, loss: 1.578403, test acc: 0.871359, test avg acc: 0.794946
Train 73, loss: 1.569746, train acc: 0.905025, train avg acc: 0.849812
Test 73, loss: 1.579157, test acc: 0.871359, test avg acc: 0.794077
Train 74, loss: 1.572610, train acc: 0.909926, train avg acc: 0.849086
Test 74, loss: 1.581805, test acc: 0.868932, test avg acc: 0.792464
Train 75, loss: 1.555017, train acc: 0.908088, train avg acc: 0.849364
Test 75, loss: 1.579912, test acc: 0.864078, test avg acc: 0.796496
Train 76, loss: 1.574934, train acc: 0.908701, train avg acc: 0.855674
Test 76, loss: 1.577317, test acc: 0.866505, test avg acc: 0.798327
Train 77, loss: 1.578201, train acc: 0.904412, train avg acc: 0.847573
Test 77, loss: 1.579506, test acc: 0.871359, test avg acc: 0.808396
Train 78, loss: 1.570044, train acc: 0.911152, train avg acc: 0.859753
Test 78, loss: 1.577245, test acc: 0.871359, test avg acc: 0.807862
Train 79, loss: 1.561439, train acc: 0.907475, train avg acc: 0.844587
Test 79, loss: 1.577377, test acc: 0.876214, test avg acc: 0.813770
Train 80, loss: 1.580407, train acc: 0.900735, train avg acc: 0.843993
Test 80, loss: 1.575940, test acc: 0.876214, test avg acc: 0.811348
Train 81, loss: 1.556402, train acc: 0.917279, train avg acc: 0.880046
Test 81, loss: 1.572990, test acc: 0.873786, test avg acc: 0.802091
Train 82, loss: 1.561906, train acc: 0.907475, train avg acc: 0.857557
Test 82, loss: 1.572568, test acc: 0.868932, test avg acc: 0.802862
Train 83, loss: 1.551420, train acc: 0.921569, train avg acc: 0.881496
Test 83, loss: 1.571304, test acc: 0.873786, test avg acc: 0.809424
Train 84, loss: 1.551687, train acc: 0.918505, train avg acc: 0.859619
Test 84, loss: 1.570587, test acc: 0.873786, test avg acc: 0.809424
Train 85, loss: 1.561122, train acc: 0.908088, train avg acc: 0.872679
Test 85, loss: 1.572167, test acc: 0.873786, test avg acc: 0.809320
Train 86, loss: 1.561156, train acc: 0.904412, train avg acc: 0.852107
Test 86, loss: 1.569313, test acc: 0.873786, test avg acc: 0.802654
Train 87, loss: 1.554850, train acc: 0.917279, train avg acc: 0.860430
Test 87, loss: 1.572818, test acc: 0.868932, test avg acc: 0.799529
Train 88, loss: 1.554372, train acc: 0.912377, train avg acc: 0.861918
Test 88, loss: 1.573721, test acc: 0.868932, test avg acc: 0.806299
Train 89, loss: 1.555949, train acc: 0.919118, train avg acc: 0.869852
Test 89, loss: 1.578322, test acc: 0.871359, test avg acc: 0.808223
Train 90, loss: 1.550750, train acc: 0.914828, train avg acc: 0.856473
Test 90, loss: 1.569386, test acc: 0.876214, test avg acc: 0.811452
Train 91, loss: 1.547618, train acc: 0.927083, train avg acc: 0.881455
Test 91, loss: 1.571003, test acc: 0.873786, test avg acc: 0.809785
Train 92, loss: 1.563910, train acc: 0.905637, train avg acc: 0.851770
Test 92, loss: 1.571209, test acc: 0.868932, test avg acc: 0.806287
Train 93, loss: 1.550209, train acc: 0.916054, train avg acc: 0.857766
Test 93, loss: 1.570659, test acc: 0.876214, test avg acc: 0.811348
Train 94, loss: 1.564791, train acc: 0.906250, train avg acc: 0.846009
Test 94, loss: 1.571891, test acc: 0.873786, test avg acc: 0.809424
Train 95, loss: 1.551168, train acc: 0.920343, train avg acc: 0.868229
Test 95, loss: 1.572154, test acc: 0.873786, test avg acc: 0.809424
Train 96, loss: 1.549487, train acc: 0.908701, train avg acc: 0.853565
Test 96, loss: 1.572241, test acc: 0.873786, test avg acc: 0.809424
Train 97, loss: 1.569276, train acc: 0.902574, train avg acc: 0.853354
Test 97, loss: 1.571002, test acc: 0.868932, test avg acc: 0.799529
Train 98, loss: 1.566226, train acc: 0.898897, train avg acc: 0.842493
Test 98, loss: 1.569779, test acc: 0.871359, test avg acc: 0.801091
Train 99, loss: 1.552219, train acc: 0.915441, train avg acc: 0.862681
Test 99, loss: 1.571374, test acc: 0.876214, test avg acc: 0.811348
